,id,name,duration_ms,href,popularity,uri,album_id
24,3Vevii7qKqrmW8CcyzBHDl,"So Long, London",262974,https://api.spotify.com/v1/tracks/3Vevii7qKqrmW8CcyzBHDl,85,spotify:track:3Vevii7qKqrmW8CcyzBHDl,1Mo4aZ8pdj6L1jx8zSwJnt
25,0W0iAC1VGlB82PI6elxFYf,Guilty as Sin?,254365,https://api.spotify.com/v1/tracks/0W0iAC1VGlB82PI6elxFYf,84,spotify:track:0W0iAC1VGlB82PI6elxFYf,1Mo4aZ8pdj6L1jx8zSwJnt
26,7wAkQFShJ27V8362MqevQr,"So Long, London",262974,https://api.spotify.com/v1/tracks/7wAkQFShJ27V8362MqevQr,89,spotify:track:7wAkQFShJ27V8362MqevQr,5H7ixXZfsNMGbIE5OBSpcb
27,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),229477,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,82,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,64LU4c1nfjz1t4VnGhagcg
28,1kcwpPDQnqEqmezzXdJTCP,imgonnagetyouback,222072,https://api.spotify.com/v1/tracks/1kcwpPDQnqEqmezzXdJTCP,88,spotify:track:1kcwpPDQnqEqmezzXdJTCP,5H7ixXZfsNMGbIE5OBSpcb
29,71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",180381,https://api.spotify.com/v1/tracks/71BqAINEnezjQfxE4VuJfq,79,spotify:track:71BqAINEnezjQfxE4VuJfq,64LU4c1nfjz1t4VnGhagcg
30,3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),353253,https://api.spotify.com/v1/tracks/3sW3oSbzsfecv9XoUdGs7h,81,spotify:track:3sW3oSbzsfecv9XoUdGs7h,5AEDGbliTTfjOB8TSm1sxt
31,7uGYWMwRy24dm7RUDDhUlD,My Boy Only Breaks His Favorite Toys,203801,https://api.spotify.com/v1/tracks/7uGYWMwRy24dm7RUDDhUlD,89,spotify:track:7uGYWMwRy24dm7RUDDhUlD,5H7ixXZfsNMGbIE5OBSpcb
32,04S1pkp1VaIqjg8zZqknR5,Enchanted,352200,https://api.spotify.com/v1/tracks/04S1pkp1VaIqjg8zZqknR5,72,spotify:track:04S1pkp1VaIqjg8zZqknR5,6Ar2o9KCqcyYF9J0aQP3au
33,4QMgEffJQuKtjCNvqfRZ0m,But Daddy I Love Him,340428,https://api.spotify.com/v1/tracks/4QMgEffJQuKtjCNvqfRZ0m,89,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,5H7ixXZfsNMGbIE5OBSpcb
34,6oVxXO5oQ4pTpO8RSnkzvv,Dress,230373,https://api.spotify.com/v1/tracks/6oVxXO5oQ4pTpO8RSnkzvv,76,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,6DEjYFkNZh67HP7R9PSZvv
35,3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,293048,https://api.spotify.com/v1/tracks/3NMrVbIVWT3fPXBj0rNDKG,83,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,1Mo4aZ8pdj6L1jx8zSwJnt
36,3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,174782,https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4,79,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,151w1FgRZfnKZA9FEcg9Z3
37,2d8UxVNhJinc8uat9PoM9y,Who’s Afraid of Little Old Me?,334084,https://api.spotify.com/v1/tracks/2d8UxVNhJinc8uat9PoM9y,90,spotify:track:2d8UxVNhJinc8uat9PoM9y,5H7ixXZfsNMGbIE5OBSpcb
38,1ZY1PqizIl78geGM4xWlEA,Gorgeous,209680,https://api.spotify.com/v1/tracks/1ZY1PqizIl78geGM4xWlEA,77,spotify:track:1ZY1PqizIl78geGM4xWlEA,6DEjYFkNZh67HP7R9PSZvv
39,7Mts0OfPorF4iwOomvfqn1,So High School,228800,https://api.spotify.com/v1/tracks/7Mts0OfPorF4iwOomvfqn1,88,spotify:track:7Mts0OfPorF4iwOomvfqn1,5H7ixXZfsNMGbIE5OBSpcb
40,1tuNqJOtRQVHvONR8Lg3MZ,The Alchemy,196900,https://api.spotify.com/v1/tracks/1tuNqJOtRQVHvONR8Lg3MZ,87,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,5H7ixXZfsNMGbIE5OBSpcb
41,3YkNIrAvbKNrrwwEd7NVLl,loml,277156,https://api.spotify.com/v1/tracks/3YkNIrAvbKNrrwwEd7NVLl,87,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,5H7ixXZfsNMGbIE5OBSpcb
42,7IWcDWOfiooH5hRs9XOVYz,Fresh Out The Slammer,210789,https://api.spotify.com/v1/tracks/7IWcDWOfiooH5hRs9XOVYz,87,spotify:track:7IWcDWOfiooH5hRs9XOVYz,5H7ixXZfsNMGbIE5OBSpcb
43,62E2nR0od0M5HYxuYLaDz7,The Black Dog,238857,https://api.spotify.com/v1/tracks/62E2nR0od0M5HYxuYLaDz7,87,spotify:track:62E2nR0od0M5HYxuYLaDz7,5H7ixXZfsNMGbIE5OBSpcb
44,6NFyWDv5CjfwuzoCkw47Xf,Delicate,232253,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,81,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,6DEjYFkNZh67HP7R9PSZvv
45,1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),220433,https://api.spotify.com/v1/tracks/1K39ty6o1sHwwlZwO6a7wK,78,spotify:track:1K39ty6o1sHwwlZwO6a7wK,64LU4c1nfjz1t4VnGhagcg
46,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,219200,https://api.spotify.com/v1/tracks/0cqRj7pUJDkTCEsJkx8snD,80,spotify:track:0cqRj7pUJDkTCEsJkx8snD,1yGbNOtRIgdIiGHOEBaZWf
47,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026,https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi,81,spotify:track:5enxwA8aAbwZbf5qCHORXi,6kZ42qRrzov54LcAk4onW9
48,2XXwLdtuAcE0HSCu61ijAb,My Boy Only Breaks His Favorite Toys,203801,https://api.spotify.com/v1/tracks/2XXwLdtuAcE0HSCu61ijAb,84,spotify:track:2XXwLdtuAcE0HSCu61ijAb,1Mo4aZ8pdj6L1jx8zSwJnt
49,1xtw1krCR6Dw2KwkXw5z63,The Smallest Man Who Ever Lived,245541,https://api.spotify.com/v1/tracks/1xtw1krCR6Dw2KwkXw5z63,88,spotify:track:1xtw1krCR6Dw2KwkXw5z63,5H7ixXZfsNMGbIE5OBSpcb
