,track_id,track_name,href,popularity,uri,album_id,duration,loudness,tempo,time_signature,key,mode,acousticness,energy,danceability,album_name,album_type,album_popularity,release_date,total_tracks,album_uri,album_href
22,26e8ujjSpBAHhIY2ymLUT1,Kaerou,https://api.spotify.com/v1/tracks/26e8ujjSpBAHhIY2ymLUT1,53,spotify:track:26e8ujjSpBAHhIY2ymLUT1,1OojCidx0eoPKch2M0Kz31,284.48,-5.926,91.87,4/4,A,Major,0.3,0.623,0.589,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
23,6BhO28xuLVeaWKVnd1lbCJ,SAYONARA Baby,https://api.spotify.com/v1/tracks/6BhO28xuLVeaWKVnd1lbCJ,52,spotify:track:6BhO28xuLVeaWKVnd1lbCJ,1OojCidx0eoPKch2M0Kz31,260.53333,-5.579,132.044,4/4,A,Major,0.00185,0.884,0.61,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
24,5cpOWNmI84MuUCeciETO64,Kazeyo,https://api.spotify.com/v1/tracks/5cpOWNmI84MuUCeciETO64,46,spotify:track:5cpOWNmI84MuUCeciETO64,1OojCidx0eoPKch2M0Kz31,284.52,-8.285,114.966,3/4,A,Minor,0.679,0.462,0.512,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
25,57u1FaZlztApkcT5x5XNuD,YASASHISA,https://api.spotify.com/v1/tracks/57u1FaZlztApkcT5x5XNuD,50,spotify:track:57u1FaZlztApkcT5x5XNuD,1OojCidx0eoPKch2M0Kz31,240.08,-6.825,133.858,4/4,C#/Db,Major,0.111,0.707,0.596,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
26,2PDtvT5DEamQTM5qeiTDsR,"""Seishun Sick""",https://api.spotify.com/v1/tracks/2PDtvT5DEamQTM5qeiTDsR,48,spotify:track:2PDtvT5DEamQTM5qeiTDsR,7Ip9X7pnkhJ4cwDoBnvneD,324.14667,-6.628,108.024,4/4,C#/Db,Major,0.151,0.798,0.669,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
27,1JRNrJKTQhfvxII8kkIcAQ,Mo-Eh-Wa,https://api.spotify.com/v1/tracks/1JRNrJKTQhfvxII8kkIcAQ,50,spotify:track:1JRNrJKTQhfvxII8kkIcAQ,1OojCidx0eoPKch2M0Kz31,301.93332,-7.969,81.973,4/4,A,Major,0.43,0.585,0.629,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
28,1LjZnfncDtrn5YtbU4lQMf,へでもねーよ,https://api.spotify.com/v1/tracks/1LjZnfncDtrn5YtbU4lQMf,50,spotify:track:1LjZnfncDtrn5YtbU4lQMf,7grlPzIHgZINOD2GhYBROR,190.75452,-6.206,175.978,4/4,A,Minor,0.0124,0.818,0.468,へでもねーよ,single,38,2020-10-30,1,spotify:album:7grlPzIHgZINOD2GhYBROR,https://api.spotify.com/v1/albums/7grlPzIHgZINOD2GhYBROR
29,6AJppuCk5EE86paOdDI4yL,Tokuninai,https://api.spotify.com/v1/tracks/6AJppuCk5EE86paOdDI4yL,48,spotify:track:6AJppuCk5EE86paOdDI4yL,1OojCidx0eoPKch2M0Kz31,205.25333,-6.613,99.035,4/4,G,Major,0.0374,0.563,0.727,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
30,7nhXN2H8h3i2PaHPXb6FO3,Kirari,https://api.spotify.com/v1/tracks/7nhXN2H8h3i2PaHPXb6FO3,50,spotify:track:7nhXN2H8h3i2PaHPXb6FO3,7Ip9X7pnkhJ4cwDoBnvneD,227.89333,-6.842,116.975,4/4,D,Major,0.00704,0.773,0.752,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
31,3DyekzXIo7Or5Krd0eAmo5,YABA,https://api.spotify.com/v1/tracks/3DyekzXIo7Or5Krd0eAmo5,47,spotify:track:3DyekzXIo7Or5Krd0eAmo5,7Ip9X7pnkhJ4cwDoBnvneD,251.88,-7.699,126.106,4/4,B,Major,0.179,0.698,0.657,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
32,2Q0LpnMDXazZk49AWEiHE2,Lonely Rhapsody,https://api.spotify.com/v1/tracks/2Q0LpnMDXazZk49AWEiHE2,47,spotify:track:2Q0LpnMDXazZk49AWEiHE2,7Ip9X7pnkhJ4cwDoBnvneD,286.64,-8.788,150.004,4/4,F,Minor,0.122,0.635,0.598,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
33,7i5pytF8KaId51lIzatwdg,Kiri Ga Naikara,https://api.spotify.com/v1/tracks/7i5pytF8KaId51lIzatwdg,49,spotify:track:7i5pytF8KaId51lIzatwdg,1OojCidx0eoPKch2M0Kz31,217.61333,-7.121,98.983,4/4,B,Minor,0.0246,0.78,0.699,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
34,2fMdT98JpheoBh6t8DBSjI,MO-EH-YO (Ignite),https://api.spotify.com/v1/tracks/2fMdT98JpheoBh6t8DBSjI,47,spotify:track:2fMdT98JpheoBh6t8DBSjI,7Ip9X7pnkhJ4cwDoBnvneD,277.42667,-6.106,137.934,4/4,C,Major,0.00144,0.875,0.616,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
37,74Zrps4gc3qTF49oKpm6zF,Cho Si Noccha Te,https://api.spotify.com/v1/tracks/74Zrps4gc3qTF49oKpm6zF,45,spotify:track:74Zrps4gc3qTF49oKpm6zF,1OojCidx0eoPKch2M0Kz31,282.24,-6.469,143.923,4/4,A,Minor,0.00838,0.57,0.609,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
38,4Y9QwoUwo9blH9R9C5DCnk,"Bye for now,",https://api.spotify.com/v1/tracks/4Y9QwoUwo9blH9R9C5DCnk,44,spotify:track:4Y9QwoUwo9blH9R9C5DCnk,7Ip9X7pnkhJ4cwDoBnvneD,230.72,-13.28,166.043,4/4,G#/Ab,Major,0.832,0.209,0.251,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
39,7r9v0CLTunOwlbvdOFFgZo,Tsumi No Kaori,https://api.spotify.com/v1/tracks/7r9v0CLTunOwlbvdOFFgZo,46,spotify:track:7r9v0CLTunOwlbvdOFFgZo,1OojCidx0eoPKch2M0Kz31,214.2,-5.745,154.963,4/4,B,Minor,0.0466,0.861,0.517,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
40,08ldhcNuoqot1mavblvKfc,Hana - Ballad,https://api.spotify.com/v1/tracks/08ldhcNuoqot1mavblvKfc,42,spotify:track:08ldhcNuoqot1mavblvKfc,3IGw7uRv2y5lTMlIe8PLeT,247.55457,-10.588,122.993,4/4,D#/Eb,Major,0.887,0.324,0.684,Hana,single,33,2023-11-02,4,spotify:album:3IGw7uRv2y5lTMlIe8PLeT,https://api.spotify.com/v1/albums/3IGw7uRv2y5lTMlIe8PLeT
41,1zzJfOdraIBJtCAatSYzCt,Kirari - Daul Remix,https://api.spotify.com/v1/tracks/1zzJfOdraIBJtCAatSYzCt,50,spotify:track:1zzJfOdraIBJtCAatSYzCt,2OXwORzPU4tm1Skiv6l9KT,245.33043,-6.709,114.99,4/4,G,Major,0.0511,0.684,0.827,Kirari Remixes (Asia Edition),album,58,2022-01-14,9,spotify:album:2OXwORzPU4tm1Skiv6l9KT,https://api.spotify.com/v1/albums/2OXwORzPU4tm1Skiv6l9KT
42,14QNjDBXGCwEzJZUKkiTem,まつり,https://api.spotify.com/v1/tracks/14QNjDBXGCwEzJZUKkiTem,51,spotify:track:14QNjDBXGCwEzJZUKkiTem,3Pwex5PyfxbrNTAwl6FGo5,225.92404,-7.307,97.021,4/4,C#/Db,Major,0.00758,0.737,0.661,まつり,single,39,2022-03-20,1,spotify:album:3Pwex5PyfxbrNTAwl6FGo5,https://api.spotify.com/v1/albums/3Pwex5PyfxbrNTAwl6FGo5
